Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,4116R-1-331LF-ND,4116R-1-331LF,Bourns Inc.,RES ARRAY 8 RES 330 OHM 16DIP,,2,0,$2.90,$5.80
2,2057-DB25-SL-25-ND,DB25-SL-25,Adam Tech,CONN D-SUB RCPT 25POS R/A SOLDER,,1,0,$1.50,$1.50
3,AIAP-02-270K-ND,AIAP-02-270K,Abracon LLC,FIXED IND 27UH 2.5A 56 MOHM TH,,1,0,$0.58,$0.58
4,445-173170-1-ND,FG18C0G1H101JNT06,TDK Corporation,CAP CER 100PF 50V C0G RADIAL,,2,0,$0.21,$0.42
5,BC1084CT-ND,K104K15X7RF5TL2,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.1UF 50V X7R RADIAL,,20,0,$0.14,$2.88
6,CF14JT3K30CT-ND,CF14JT3K30,Stackpole Electronics Inc,RES 3.3K OHM 5% 1/4W AXIAL,,25,0,$0.02,$0.46
7,CF14JT10K0CT-ND,CF14JT10K0,Stackpole Electronics Inc,RES 10K OHM 5% 1/4W AXIAL,,25,0,$0.02,$0.42
8,CF14JT750RCT-ND,CF14JT750R,Stackpole Electronics Inc,RES 750 OHM 5% 1/4W AXIAL,,2,0,$0.10,$0.20
9,4114R-1-471LF-ND,4114R-1-471LF,Bourns Inc.,RES ARRAY 7 RES 470 OHM 14DIP,,1,0,$3.87,$3.87
10,296-3645-5-ND,SN74LS132N,Texas Instruments,IC GATE NAND 4CH 2-INP 14DIP,,1,0,$1.27,$1.27
11,296-1643-5-ND,SN74LS14N,Texas Instruments,IC INVERT SCHMITT 6CH 1INP 14DIP,,2,0,$0.77,$1.54
12,296-1664-5-ND,SN74LS38N,Texas Instruments,IC GATE NAND 4CH 2-INP 14DIP,,1,0,$1.50,$1.50
13,296-3687-5-ND,SN74LS280N,Texas Instruments,IC PARITY GEN/CHK 9-BIT 14-PDIP,,1,0,$2.12,$2.12
14,296-3633-5-ND,SN74LS109AN,Texas Instruments,IC FF JK TYPE DBL 1-BIT 16-PDIP,,1,0,$1.98,$1.98
15,296-1634-5-ND,SN74LS10N,Texas Instruments,IC GATE NAND 3CH 3-INP 14DIP,,1,0,$1.06,$1.06
16,296-1639-5-ND,SN74LS138N,Texas Instruments,IC DECODER/DEMUX 1 X 3:8 16-PDIP,,1,0,$0.93,$0.93
17,296-1638-5-ND,SN74LS125AN,Texas Instruments,IC BUFF NON-INVERT 5.25V 14-PDIP,,1,0,$1.12,$1.12
18,296-3702-5-ND,SN74LS368AN,Texas Instruments,IC BUFFER INVERT 5.25V 16-PDIP,,1,0,$2.39,$2.39
19,296-1662-5-ND,SN74LS374N,Texas Instruments,IC FF D-TYPE SINGLE 8BIT 20PDIP,,1,0,$1.24,$1.24
20,296-1653-5-ND,SN74LS244N,Texas Instruments,IC BUFF NON-INVERT 5.25V 20-PDIP,,1,0,$1.47,$1.47
21,A120349-ND,1-2199298-4,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 16POS TIN,,10,0,$0.21,$2.09
22,A120348-ND,1-2199298-3,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 14POS TIN,,10,0,$0.20,$1.95
23,A120351-ND,1-2199298-6,TE Connectivity AMP Connectors,CONN IC DIP SOCKET 20POS TIN,,4,0,$0.51,$2.04
24,296-14889-5-ND,SN74LS259BN,Texas Instruments,IC D-TYPE ADDR 1:8 16-PDIP,,2,0,$1.59,$3.18
,,,,,,,,Subtotal,$42.01
